,run,sample,assembler,contigs,basepairs,max_contig,n50,mapped_reads,Ns,misassembled contigs,misassembly events,filtered_contigs,filtered_basepairs,filtered_n50,filtered_Ns,filtered_mapped_reads,distribution,type,algorythm
136,run3,ERR2984773,MEGAHIT,20614.0,41166407.0,1205839.0,88308.0,84.22373163940485,0.0,15.0,32.0,1447.0,32021766.0,149841.0,0.0,82.83486029790805,Even,Metagenomic,Multiple k-mer De Bruijn graph
137,run3,ERR2984773,MetaHipMer2,19351.0,13174826.0,2964.0,658.0,25.491162886730766,0.0,0.0,0.0,1309.0,1601390.0,1178.0,0.0,3.965407090201146,Even,Metagenomic,Multiple k-mer De Bruijn graph
138,run3,ERR2984773,metaSPAdes,61644.0,48964620.0,473277.0,42332.0,84.32610786740455,0.0,2.0,3.0,1689.0,31967753.0,95101.0,0.0,82.04081709307968,Even,Metagenomic,Multiple k-mer De Bruijn graph
139,run3,ERR2984773,MINIA,67987.0,41186508.0,117945.0,7106.0,80.64053520418506,0.0,0.0,0.0,3978.0,28276538.0,15912.0,0.0,74.35834878167793,Even,Genomic,Single k-mer De Bruijn graph
140,run3,ERR2984773,SKESA,1352.0,30430077.0,446163.0,76924.0,81.25416655711403,0.0,0.0,0.0,846.0,30211740.0,77870.0,0.0,80.50855415445794,Even,Genomic,Multiple k-mer De Bruijn graph
141,run3,ERR2984773,SPAdes,39819.0,46535940.0,745370.0,53292.0,84.20443330213502,0.0,9.0,18.0,2049.0,32500826.0,99299.0,0.0,81.16951793766506,Even,Genomic,Multiple k-mer De Bruijn graph
142,run3,ERR2984773,Unicycler,895.0,30592960.0,882182.0,191424.0,82.3136799886088,0.0,2.0,4.0,425.0,30432114.0,191424.0,0.0,81.59809354509034,Even,Genomic,Multiple k-mer De Bruijn graph
143,run3,ERR2984773,VelvetOptimiser,539817.0,52477555.0,1157.0,93.0,3.124389990997903,105.0,0.0,0.0,13.0,13883.0,1039.0,0.0,0.002139833327471556,Even,Genomic,Multiple k-mer De Bruijn graph
144,run2,LNN,ABySS,44619.0,20132244.0,851314.0,9569.0,99.85118398031533,1345.0,0.0,0.0,1211.0,13573790.0,192306.0,400.0,98.90152944379803,Log,Genomic,Single k-mer De Bruijn graph
146,run2,LNN,GATBMiniaPipeline,693.0,13911245.0,632215.0,136741.0,99.71968357448291,0.0,1.0,3.0,219.0,13658336.0,140561.0,0.0,98.80719828622149,Log,Metagenomic,Multiple k-mer De Bruijn graph
147,run2,LNN,IDBA-UD,1987.0,14324920.0,585610.0,105808.0,99.69488038187885,0.0,2.0,2.0,261.0,13642314.0,108043.0,0.0,98.95193862957595,Log,Metagenomic,Multiple k-mer De Bruijn graph
148,run2,LNN,MEGAHIT,1842.0,14402555.0,1080013.0,203548.0,99.76514529268687,0.0,1.0,2.0,172.0,13704539.0,210993.0,0.0,99.68686178400014,Log,Metagenomic,Multiple k-mer De Bruijn graph
149,run2,LNN,MetaHipMer2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Log,Metagenomic,Multiple k-mer De Bruijn graph
150,run2,LNN,metaSPAdes,6700.0,15514698.0,850099.0,220609.0,99.79800262381985,0.0,1.0,3.0,139.0,13692577.0,239185.0,0.0,99.59185535406934,Log,Metagenomic,Multiple k-mer De Bruijn graph
151,run2,LNN,MINIA,15000.0,16401028.0,177038.0,26474.0,99.011020779322,0.0,2.0,4.0,762.0,13501500.0,33550.0,0.0,97.53520364123578,Log,Genomic,Single k-mer De Bruijn graph
152,run2,LNN,SKESA,9514.0,8202941.0,59272.0,1155.0,95.10132973879378,0.0,12.0,23.0,1433.0,4470092.0,7385.0,0.0,91.7664250905952,Log,Genomic,Multiple k-mer De Bruijn graph
153,run2,LNN,SPAdes,7331.0,15606257.0,632639.0,122703.0,99.7139092641346,0.0,0.0,0.0,227.0,13640340.0,136684.0,0.0,99.59185535406934,Log,Genomic,Multiple k-mer De Bruijn graph
154,run2,LNN,Unicycler,185.0,11719230.0,847534.0,242687.0,99.22649328850362,0.0,0.0,0.0,112.0,11691061.0,242687.0,0.0,98.60565666661482,Log,Genomic,Multiple k-mer De Bruijn graph
155,run2,LNN,VelvetOptimiser,35804.0,19514935.0,847474.0,118621.0,98.75713196318691,198470.0,12.0,25.0,209.0,13685752.0,210246.0,27980.0,97.54106157664346,Log,Genomic,Multiple k-mer De Bruijn graph
156,run2,ERR2935805,ABySS,677853.0,78727717.0,88665.0,101.0,91.83420337191703,9.0,0.0,0.0,356.0,3150980.0,18568.0,0.0,79.02965476252125,Log,Genomic,Single k-mer De Bruijn graph
158,run2,ERR2935805,GATBMiniaPipeline,6776.0,17147130.0,542997.0,55204.0,89.40453481544253,0.0,1.0,2.0,603.0,13912407.0,90095.0,0.0,88.89602233859438,Log,Metagenomic,Multiple k-mer De Bruijn graph
159,run2,ERR2935805,IDBA-UD,14156.0,23587252.0,632213.0,51161.0,89.8008276915514,0.0,3.0,5.0,2725.0,17534580.0,113853.0,0.0,89.22548206866566,Log,Metagenomic,Multiple k-mer De Bruijn graph
160,run2,ERR2935805,MEGAHIT,14172.0,24498566.0,768410.0,82249.0,89.76422291321143,0.0,1.0,2.0,3044.0,18552996.0,210993.0,0.0,89.502390767225,Log,Metagenomic,Multiple k-mer De Bruijn graph
161,run2,ERR2935805,MetaHipMer2,11973.0,15029183.0,14760.0,1516.0,84.35621552543934,0.0,0.0,0.0,5031.0,10253731.0,2177.0,0.0,73.88556178466995,Log,Metagenomic,Multiple k-mer De Bruijn graph
162,run2,ERR2935805,metaSPAdes,26282.0,27822010.0,622107.0,3674.0,89.92625377951288,0.0,3.0,7.0,3392.0,18792639.0,87983.0,0.0,89.36811192160285,Log,Metagenomic,Multiple k-mer De Bruijn graph
163,run2,ERR2935805,MINIA,37281.0,20757924.0,163543.0,7485.0,87.67533064772854,0.0,2.0,3.0,1463.0,13446596.0,18288.0,0.0,84.24447572346807,Log,Genomic,Single k-mer De Bruijn graph
164,run2,ERR2935805,SKESA,8822.0,8818742.0,29155.0,1431.0,78.66255748464859,0.0,0.0,0.0,2889.0,5801439.0,2148.0,0.0,62.71003347866463,Log,Genomic,Multiple k-mer De Bruijn graph
165,run2,ERR2935805,SPAdes,36214.0,29517365.0,847683.0,1972.0,87.24435323366495,0.0,572.0,1148.0,4999.0,19595813.0,55465.0,0.0,57.92940845118595,Log,Genomic,Multiple k-mer De Bruijn graph
166,run2,ERR2935805,Unicycler,205.0,9747587.0,847580.0,256884.0,88.05619365539616,0.0,0.0,0.0,144.0,9725301.0,256884.0,0.0,87.47524306302446,Log,Genomic,Multiple k-mer De Bruijn graph
167,run2,ERR2935805,VelvetOptimiser,525998.0,47958628.0,2044.0,88.0,1.3863560659202114,0.0,0.0,0.0,340.0,409222.0,1180.0,0.0,0.020348067141638875,Log,Genomic,Multiple k-mer De Bruijn graph
168,run2,LHS,ABySS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Log,Genomic,Single k-mer De Bruijn graph
170,run2,LHS,GATBMiniaPipeline,988.0,13638386.0,632215.0,90987.0,97.17227401958398,0.0,2.0,6.0,762.0,13507796.0,91722.0,0.0,96.81308452871174,Log,Metagenomic,Multiple k-mer De Bruijn graph
171,run2,LHS,IDBA-UD,1025.0,13791670.0,632213.0,106347.0,97.18579932762107,0.0,2.0,5.0,568.0,13601100.0,108024.0,0.0,96.95700952773751,Log,Metagenomic,Multiple k-mer De Bruijn graph
172,run2,LHS,MEGAHIT,767.0,13843596.0,632250.0,171359.0,97.28649121627464,0.0,0.0,0.0,327.0,13671964.0,171540.0,0.0,97.14734329876441,Log,Metagenomic,Multiple k-mer De Bruijn graph
173,run2,LHS,MetaHipMer2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Log,Metagenomic,Multiple k-mer De Bruijn graph
174,run2,LHS,metaSPAdes,2099.0,14157309.0,917728.0,193256.0,97.26786896086999,0.0,1.0,3.0,184.0,13672885.0,196786.0,0.0,97.18295816622955,Log,Metagenomic,Multiple k-mer De Bruijn graph
175,run2,LHS,MINIA,24664.0,15335108.0,163543.0,7727.0,91.09290781725382,0.0,0.0,0.0,2172.0,12922301.0,10582.0,0.0,81.98968769218084,Log,Genomic,Single k-mer De Bruijn graph
176,run2,LHS,SKESA,36.0,2957060.0,632013.0,351027.0,92.22844099976099,0.0,0.0,0.0,21.0,2950393.0,351027.0,0.0,92.00038605508651,Log,Genomic,Multiple k-mer De Bruijn graph
177,run2,LHS,SPAdes,31040.0,16214591.0,263645.0,46478.0,95.50347428671587,0.0,1.0,2.0,1526.0,13087777.0,69361.0,0.0,77.08148626483488,Log,Genomic,Multiple k-mer De Bruijn graph
178,run2,LHS,Unicycler,264.0,13324149.0,847572.0,192888.0,96.9745352495514,0.0,5.0,10.0,243.0,13315624.0,192888.0,0.0,96.40605627732344,Log,Genomic,Multiple k-mer De Bruijn graph
179,run2,LHS,VelvetOptimiser,240521.0,22177532.0,4146.0,124.0,4.0852367651217945,0.0,0.0,0.0,817.0,1087944.0,1295.0,0.0,0.2555226407321943,Log,Genomic,Multiple k-mer De Bruijn graph
180,run3,LNN,ABySS,44619.0,20132244.0,851314.0,9569.0,99.85118398031533,1345.0,0.0,0.0,1211.0,13573790.0,192306.0,400.0,98.90152944379803,Log,Genomic,Single k-mer De Bruijn graph
182,run3,LNN,GATBMiniaPipeline,693.0,13911245.0,632215.0,136741.0,99.71968357448291,0.0,1.0,3.0,219.0,13658336.0,140561.0,0.0,98.80719828622149,Log,Metagenomic,Multiple k-mer De Bruijn graph
183,run3,LNN,IDBA-UD,1987.0,14324920.0,585610.0,105808.0,99.69488038187885,0.0,2.0,2.0,261.0,13642314.0,108043.0,0.0,98.95193862957595,Log,Metagenomic,Multiple k-mer De Bruijn graph
184,run3,LNN,MEGAHIT,1842.0,14402555.0,1080013.0,203548.0,99.76514529268687,0.0,1.0,2.0,172.0,13704539.0,210993.0,0.0,99.68686178400014,Log,Metagenomic,Multiple k-mer De Bruijn graph
185,run3,LNN,MetaHipMer2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Log,Metagenomic,Multiple k-mer De Bruijn graph
186,run3,LNN,metaSPAdes,6700.0,15514698.0,850099.0,220609.0,99.79800262381985,0.0,1.0,3.0,139.0,13692577.0,239185.0,0.0,99.59185535406934,Log,Metagenomic,Multiple k-mer De Bruijn graph
187,run3,LNN,MINIA,15000.0,16401028.0,177038.0,26474.0,99.011020779322,0.0,2.0,4.0,762.0,13501500.0,33550.0,0.0,97.53520364123578,Log,Genomic,Single k-mer De Bruijn graph
188,run3,LNN,SKESA,9514.0,8202941.0,59272.0,1155.0,95.10132973879378,0.0,12.0,23.0,1433.0,4470092.0,7385.0,0.0,91.7664250905952,Log,Genomic,Multiple k-mer De Bruijn graph
189,run3,LNN,SPAdes,7331.0,15606257.0,632639.0,122703.0,99.7139092641346,0.0,0.0,0.0,227.0,13640340.0,136684.0,0.0,99.59185535406934,Log,Genomic,Multiple k-mer De Bruijn graph
190,run3,LNN,Unicycler,185.0,11719230.0,847534.0,242687.0,99.22649328850362,0.0,0.0,0.0,112.0,11691061.0,242687.0,0.0,98.60565666661482,Log,Genomic,Multiple k-mer De Bruijn graph
191,run3,LNN,VelvetOptimiser,35804.0,19514935.0,847474.0,118621.0,98.75713196318691,198470.0,12.0,25.0,209.0,13685752.0,210246.0,27980.0,97.54106157664346,Log,Genomic,Multiple k-mer De Bruijn graph
192,run3,ERR2935805,ABySS,677853.0,78727717.0,88665.0,101.0,91.83420337191703,9.0,0.0,0.0,356.0,3150980.0,18568.0,0.0,79.02965476252125,Log,Genomic,Single k-mer De Bruijn graph
194,run3,ERR2935805,GATBMiniaPipeline,6776.0,17147130.0,542997.0,55204.0,89.40453481544253,0.0,1.0,2.0,603.0,13912407.0,90095.0,0.0,88.89602233859438,Log,Metagenomic,Multiple k-mer De Bruijn graph
195,run3,ERR2935805,IDBA-UD,14156.0,23587252.0,632213.0,51161.0,89.8008276915514,0.0,3.0,5.0,2725.0,17534580.0,113853.0,0.0,89.22548206866566,Log,Metagenomic,Multiple k-mer De Bruijn graph
196,run3,ERR2935805,MEGAHIT,14172.0,24498566.0,768410.0,82249.0,89.76422291321143,0.0,1.0,2.0,3044.0,18552996.0,210993.0,0.0,89.502390767225,Log,Metagenomic,Multiple k-mer De Bruijn graph
197,run3,ERR2935805,MetaHipMer2,11973.0,15029183.0,14760.0,1516.0,84.35621552543934,0.0,0.0,0.0,5031.0,10253731.0,2177.0,0.0,73.88556178466995,Log,Metagenomic,Multiple k-mer De Bruijn graph
198,run3,ERR2935805,metaSPAdes,26282.0,27822010.0,622107.0,3674.0,89.92625377951288,0.0,3.0,7.0,3392.0,18792639.0,87983.0,0.0,89.36811192160285,Log,Metagenomic,Multiple k-mer De Bruijn graph
199,run3,ERR2935805,MINIA,37281.0,20757924.0,163543.0,7485.0,87.67533064772854,0.0,2.0,3.0,1463.0,13446596.0,18288.0,0.0,84.24447572346807,Log,Genomic,Single k-mer De Bruijn graph
200,run3,ERR2935805,SKESA,8822.0,8818742.0,29155.0,1431.0,78.66255748464859,0.0,0.0,0.0,2889.0,5801439.0,2148.0,0.0,62.71003347866463,Log,Genomic,Multiple k-mer De Bruijn graph
201,run3,ERR2935805,SPAdes,36214.0,29517365.0,847683.0,1972.0,87.24435323366495,0.0,572.0,1148.0,4999.0,19595813.0,55465.0,0.0,57.92940845118595,Log,Genomic,Multiple k-mer De Bruijn graph
202,run3,ERR2935805,Unicycler,205.0,9747587.0,847580.0,256884.0,88.05619365539616,0.0,0.0,0.0,144.0,9725301.0,256884.0,0.0,87.47524306302446,Log,Genomic,Multiple k-mer De Bruijn graph
203,run3,ERR2935805,VelvetOptimiser,525998.0,47958628.0,2044.0,88.0,1.3863560659202114,0.0,0.0,0.0,340.0,409222.0,1180.0,0.0,0.020348067141638875,Log,Genomic,Multiple k-mer De Bruijn graph
204,run3,LHS,ABySS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Log,Genomic,Single k-mer De Bruijn graph
206,run3,LHS,GATBMiniaPipeline,988.0,13638386.0,632215.0,90987.0,97.17227401958398,0.0,2.0,6.0,762.0,13507796.0,91722.0,0.0,96.81308452871174,Log,Metagenomic,Multiple k-mer De Bruijn graph
207,run3,LHS,IDBA-UD,1025.0,13791670.0,632213.0,106347.0,97.18579932762107,0.0,2.0,5.0,568.0,13601100.0,108024.0,0.0,96.95700952773751,Log,Metagenomic,Multiple k-mer De Bruijn graph
208,run3,LHS,MEGAHIT,767.0,13843596.0,632250.0,171359.0,97.28649121627464,0.0,0.0,0.0,327.0,13671964.0,171540.0,0.0,97.14734329876441,Log,Metagenomic,Multiple k-mer De Bruijn graph
209,run3,LHS,MetaHipMer2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Log,Metagenomic,Multiple k-mer De Bruijn graph
210,run3,LHS,metaSPAdes,2099.0,14157309.0,917728.0,193256.0,97.26786896086999,0.0,1.0,3.0,184.0,13672885.0,196786.0,0.0,97.18295816622955,Log,Metagenomic,Multiple k-mer De Bruijn graph
211,run3,LHS,MINIA,24664.0,15335108.0,163543.0,7727.0,91.09290781725382,0.0,0.0,0.0,2172.0,12922301.0,10582.0,0.0,81.98968769218084,Log,Genomic,Single k-mer De Bruijn graph
212,run3,LHS,SKESA,36.0,2957060.0,632013.0,351027.0,92.22844099976099,0.0,0.0,0.0,21.0,2950393.0,351027.0,0.0,92.00038605508651,Log,Genomic,Multiple k-mer De Bruijn graph
213,run3,LHS,SPAdes,31040.0,16214591.0,263645.0,46478.0,95.50347428671587,0.0,1.0,2.0,1526.0,13087777.0,69361.0,0.0,77.08148626483488,Log,Genomic,Multiple k-mer De Bruijn graph
214,run3,LHS,Unicycler,264.0,13324149.0,847572.0,192888.0,96.9745352495514,0.0,5.0,10.0,243.0,13315624.0,192888.0,0.0,96.40605627732344,Log,Genomic,Multiple k-mer De Bruijn graph
215,run3,LHS,VelvetOptimiser,240521.0,22177532.0,4146.0,124.0,4.0852367651217945,0.0,0.0,0.0,817.0,1087944.0,1295.0,0.0,0.2555226407321943,Log,Genomic,Multiple k-mer De Bruijn graph
